objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
33392;41807-PP1;94A.2188-PP1;AUTUMN RIDGE DRIVE;4.59999;4.3;1.29999;473.20999;472.22;15;;2002-03-18 14:20:54+00:00;CONCRETE;CIRCULAR;0.892;City;110.9001447;Eno River;CITY-ROW
33393;41808-PP1;94A.2189-PP1;AUTUMN RIDGE DRIVE;4.5;4.5;1.29999;473.83999;473.30999;15;;2002-03-18 14:20:54+00:00;CONCRETE;CIRCULAR;0.485;City;109.2048593;Eno River;CITY-ROW
33420;44135-PP1;DWC.426-PP1;TAYLOR ST. AT EASTWAY ELEMENTARY SCHOOL;4.59999;4.59999;1.29999;333.89999;333.89999;15;;2002-08-01 16:22:34+00:00;CONCRETE;CIRCULAR;0;City;4.224523642;Ellerbe Creek;PRIVATE
33442;45305-PP1;JDP.521-PP1;415 GEER ST;1.79999;;1.29999;354.47;;15;;2002-11-11 12:30:15+00:00;CONCRETE;CIRCULAR;;City;64.35801193;Ellerbe Creek;PRIVATE
33571;42109-PP1;95D.2622-PP1;HWY 147 @ BLACKWELL ST OVERPASS;5.69999;3.79999;1.29999;354.79;340.41;15;;2007-11-16 17:29:37+00:00;METAL-CORRUGATED;CIRCULAR;22.273;City;64.56217546;Third Fork Creek;DOT-ROW
33623;29972-PS1;712A.81-PS1;;6.3;;1.29999;;;15;;2007-10-17 18:17:33+00:00;CONCRETE;CIRCULAR;;City;27.5006509;Little River;CITY-ROW
33739;45075-PP1;JDP.277-PP1;LYNCH ST & MANGUM ST;3.79999;4;1.29999;389.04;387.97;15;;2007-11-19 16:42:04+00:00;CLAY;CIRCULAR;1.192;City;89.73534978;Ellerbe Creek;DOT-ROW
33747;45093-PP1;JDP.298-PP1;LYNCH ST &  ROXBORO ST;8;1.5;1.29999;372.35998;368.79;15;;2007-11-19 16:42:04+00:00;CONCRETE;CIRCULAR;3.127;City;114.1250126;Ellerbe Creek;DOT-ROW/PRIVATE
33763;47194-PP1;KLC.23-PP1;FAIRFIELD INN/HILLSBOROUGH RD;4.69999;3.09999;1.29999;403.63;403.42999;15;;2002-07-22 15:54:03+00:00;CONCRETE;CIRCULAR;0.12;City;167.3190739;Ellerbe Creek;PRIVATE
33776;41274-PP1;832A.10-PP1;309 GREEN ST;6.5;3.5;1.29999;357.27999;345.35;15;;2012-09-05 16:31:16+00:00;CONCRETE;CIRCULAR;7.897;City;151.0719094;Ellerbe Creek;CITY-ROW/PRIVATE
33854;41638-PP1;92D.154-PP1;#NAME?;4.4;5.19999;1.29999;398.41;393.51;15;;2012-05-10 18:49:19+00:00;CONCRETE;CIRCULAR;3.002;City;163.1511805;Ellerbe Creek;DOT-ROW
